ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
42,PENNSYLVANIA,PA,Lycoming,42081,"Lycoming County, Pennsylvania",1228.7512539,114859,0,53340,239,45897,483,15403,1377,2961,303,26867,607,8224,496,21245,114,23647,0,17383,830,3941,383,10848,192,345,130,3034,382,3470,268,340,99,4160,443,6078,531,14.2,1.3,5.2,0.5,26867.0,607.0,10.2,0.6,18.5,0.1,20.6,0.0,15.6,0.7,8.6,0.8,9.4,0.2,0.3,0.1,5.7,0.7,6.5,0.5,0.7,0.2,9.1,1.0,5.3,0.5,0.6818,0.4394,0.5455,0.3788,2.0455,0.4545,0.3636,0.6818,0.4545,0.7727,2.2726,0.6364,0.6061,0.1515,0.7576,0.4394,0.7273,0.4091,0.0606,0.7121,0.7576,2.6667,0.6061,7.7424,0.5455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6612,644,5.9,0.6,112509
42,PENNSYLVANIA,PA,Blair,42013,"Blair County, Pennsylvania",525.801082,123842,0,56767,202,51625,536,17645,1311,2956,355,26648,693,8029,648,24518,76,25397,33,21325,952,4388,385,6600,155,328,158,3695,328,3668,383,511,141,4773,410,3240,412,14.6,1.1,5.0,0.6,26648.0,693.0,9.1,0.7,19.8,0.1,20.5,0.0,17.4,0.8,8.5,0.7,5.3,0.1,0.3,0.1,6.5,0.6,6.5,0.7,1.0,0.3,9.2,0.8,2.6,0.3,0.8182,0.3636,0.5606,0.2879,2.0303,0.4394,0.5758,0.6515,0.7576,0.697,2.6819,0.9394,0.303,0.1515,0.4545,0.2273,0.7727,0.4091,0.2879,0.7273,0.3939,2.5909,0.5455,7.7576,0.5606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6490,589,5.3,0.5,124659
42,PENNSYLVANIA,PA,Delaware,42045,"Delaware County, Pennsylvania",183.8185892,563527,0,224158,407,206405,964,54468,2851,17628,859,38251,531,27437,1240,88412,68,124912,31,66136,1743,19267,798,183507,205,9941,840,25849,843,704,183,3025,345,21937,850,21802,973,10.0,0.5,6.0,0.3,38251.0,531.0,7.2,0.3,15.7,0.1,22.2,0.0,11.9,0.3,9.3,0.4,32.6,0.0,1.9,0.2,11.5,0.4,0.3,0.1,1.5,0.2,10.6,0.4,3.9,0.2,0.1515,0.6515,0.0455,0.1667,1.0152,0.1515,0.0455,0.8485,0.0758,0.8939,1.8637,0.3182,0.9242,0.8333,1.7575,0.9242,0.9394,0.0152,0.697,0.9091,0.6364,3.1971,0.8939,7.8335,0.5758,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,2,3,30066,1371,5.4,0.2,479359
42,PENNSYLVANIA,PA,Venango,42121,"Venango County, Pennsylvania",674.2837702,52376,0,27592,140,21915,344,7088,595,1660,234,25837,695,3913,338,11027,43,10423,0,9767,429,1805,215,2131,95,102,75,838,124,3161,194,242,81,1609,179,1207,257,13.8,1.2,6.8,1.0,25837.0,695.0,10.2,0.9,21.1,0.1,19.9,0.0,18.9,0.8,8.2,1.0,4.1,0.2,0.2,0.2,3.0,0.5,11.5,0.7,1.1,0.4,7.3,0.8,2.3,0.5,0.6061,0.8636,0.7273,0.3788,2.5758,0.7879,0.7879,0.4394,0.9091,0.6364,2.7728,0.9545,0.197,0.0606,0.2576,0.1061,0.2879,0.7576,0.4394,0.4242,0.3333,2.2424,0.4394,7.8486,0.5909,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3392,364,6.6,0.7,46721
42,PENNSYLVANIA,PA,Lancaster,42071,"Lancaster County, Pennsylvania",943.8657276,538347,0,209870,355,199889,950,52452,2802,11213,615,30778,408,54658,1676,92310,75,128151,0,63802,1610,14017,775,95129,267,11626,892,17245,812,7958,561,4039,477,20160,1004,11991,847,10.0,0.5,4.0,0.2,30778.0,408.0,15.1,0.5,17.1,0.1,23.8,0.0,12.0,0.3,7.0,0.4,17.7,0.0,2.3,0.2,8.2,0.4,3.8,0.3,2.0,0.2,10.1,0.5,2.2,0.2,0.1515,0.1364,0.2273,0.9545,1.4697,0.2727,0.1667,1.0,0.1061,0.3333,1.6061,0.2576,0.8182,0.9091,1.7273,0.8636,0.8636,0.197,0.9242,0.8333,0.3182,3.1363,0.8485,7.9394,0.6061,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,4,63975,2851,12.0,0.5,505437
42,PENNSYLVANIA,PA,Somerset,42111,"Somerset County, Pennsylvania",1074.3644209,74949,0,38421,185,29708,363,8681,639,1877,230,25294,723,6647,411,15931,61,13841,154,11538,472,1865,187,4205,51,306,103,1602,171,4443,280,330,85,2284,266,5151,358,12.4,0.9,5.4,0.7,25294.0,723.0,11.9,0.7,21.3,0.1,18.5,0.2,16.5,0.7,6.3,0.6,5.6,0.1,0.4,0.1,4.2,0.4,11.6,0.7,1.1,0.3,7.7,0.9,6.9,0.5,0.4545,0.5455,0.8333,0.7424,2.5757,0.7727,0.8333,0.1212,0.6061,0.1364,1.697,0.2727,0.3182,0.2879,0.6061,0.303,0.5,0.7879,0.4394,0.5,0.8485,3.0758,0.8182,7.9546,0.6212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5177,417,7.4,0.6,65171
42,PENNSYLVANIA,PA,Schuylkill,42107,"Schuylkill County, Pennsylvania",778.6310052,143555,0,69804,187,58733,556,17294,1199,4166,344,26070,490,11968,606,28263,56,28373,0,24028,816,5006,372,12364,68,620,161,2316,275,2778,272,422,115,5313,400,7226,409,12.7,0.9,6.2,0.5,26070.0,490.0,11.4,0.6,19.7,0.1,19.8,0.0,17.6,0.6,8.5,0.6,8.6,0.0,0.5,0.1,3.3,0.4,4.0,0.4,0.7,0.2,9.0,0.7,5.0,0.3,0.5,0.697,0.6667,0.6818,2.5455,0.7424,0.5303,0.3939,0.803,0.697,2.4242,0.7879,0.5606,0.4697,1.0303,0.5758,0.4242,0.2273,0.0606,0.6818,0.7424,2.1363,0.2879,8.1363,0.6364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8328,820,6.1,0.6,124149
42,PENNSYLVANIA,PA,Juniata,42067,"Juniata County, Pennsylvania",391.3502389,24562,0,11152,68,9404,177,2876,419,452,87,25057,873,2919,255,4770,54,5574,0,3423,340,655,124,1367,6,382,126,358,106,1233,167,211,57,730,142,282,88,11.9,1.7,3.9,0.7,25057.0,873.0,17.0,1.5,19.4,0.2,22.7,0.0,14.1,1.4,7.0,1.3,5.6,0.0,1.6,0.5,3.2,1.0,11.1,1.5,2.2,0.6,7.8,1.5,1.1,0.4,0.3939,0.1212,0.8788,0.9848,2.3787,0.6515,0.4697,0.9394,0.303,0.3333,2.0454,0.5,0.3182,0.7879,1.1061,0.6364,0.3636,0.7121,0.9545,0.5303,0.0606,2.6211,0.5606,8.1513,0.6515,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,3,2546,484,10.5,2.0,18618
42,PENNSYLVANIA,PA,Dauphin,42043,"Dauphin County, Pennsylvania",524.9064146,274515,0,123740,949,111684,1329,34158,1627,7200,614,32485,668,19478,1067,44262,65,61753,0,34904,1223,10996,730,92238,209,5581,630,12201,703,3229,315,1552,240,11242,680,7145,2263,12.7,0.6,5.0,0.4,32485.0,668.0,10.3,0.6,16.1,0.1,22.5,0.0,12.9,0.4,9.8,0.6,33.6,0.1,2.2,0.2,9.9,0.6,2.6,0.3,1.4,0.2,10.1,0.6,2.6,0.8,0.5,0.3636,0.1818,0.4545,1.4999,0.2879,0.0606,0.8788,0.1667,0.9242,2.0303,0.4848,0.9545,0.8788,1.8333,0.9545,0.8788,0.1061,0.6364,0.8333,0.3939,2.8485,0.6818,8.212,0.6667,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,2,16034,1115,5.9,0.4,308219
42,PENNSYLVANIA,PA,Lawrence,42073,"Lawrence County, Pennsylvania",358.180201,87382,0,41228,174,36907,362,12017,868,2606,333,27734,780,6132,404,18408,67,17469,41,15320,670,3260,282,6931,128,392,160,1799,209,2832,269,334,92,3240,301,2289,297,14.1,1.0,6.2,0.8,27734.0,780.0,9.8,0.6,21.1,0.1,20.0,0.0,17.7,0.8,8.8,0.8,7.9,0.1,0.5,0.2,4.4,0.5,6.9,0.7,0.9,0.2,8.8,0.8,2.6,0.3,0.6515,0.697,0.4545,0.3485,2.1515,0.5455,0.7879,0.4848,0.8182,0.8333,2.9242,1.0,0.5,0.4697,0.9697,0.5455,0.5455,0.4545,0.1515,0.6364,0.3939,2.1818,0.3636,8.2272,0.6818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4439,430,5.1,0.5,75801
